trim,tilt_power,ml_blend_weight,base_unit_fraction,max_gross_leverage,search_ann_ret,search_sharpe,holdout_ann_ret,holdout_sharpe,final_nav,n_positions
0.1,1.0,0.0,0.004,2.0,0.049093039611544986,0.9625268924603374,0.016817646950141096,0.27664951669451643,21273564.17599287,120016
0.1,1.0,0.0,0.004,2.5,0.05885861828500771,1.0288455645293633,0.007820438181629807,0.14537210756569038,22960183.00048593,120016
0.1,1.0,0.0,0.004,3.0,0.06789894649003059,0.9785178390505587,0.015377838797873133,0.23971021459166017,26940077.206332862,120016
0.1,1.0,0.25,0.002,1.5,0.03968286130565657,1.0084343708909107,0.018313611947617714,0.40622495686761256,18954226.864395052,114780
0.1,1.0,0.25,0.002,2.0,0.041541312556387044,0.9607465627229004,0.025508408827136897,0.5789674473629703,20227976.240820028,114780
0.1,1.0,0.25,0.002,2.5,0.041541312556387044,0.9607465627229004,0.025508408827136897,0.5789674473629703,20227976.240820028,114780
0.1,1.0,0.25,0.002,3.0,0.041541312556387044,0.9607465627229004,0.025508408827136897,0.5789674473629703,20227976.240820028,114780
0.1,1.0,0.25,0.0025,1.5,0.03995551544880982,0.9314625613294101,0.015985422234628732,0.3348400691517083,18773963.770023108,114780
0.1,1.0,0.25,0.0025,2.0,0.04742598033901646,0.9342089601976118,0.02372648906559327,0.4515187625976494,21639818.38317477,114780
0.1,1.0,0.25,0.0025,2.5,0.04879151808269766,0.9280873469029672,0.027563349216704003,0.5378936043455793,22510001.317799933,114780
0.1,1.0,0.25,0.0025,3.0,0.04879151808269766,0.9280873469029672,0.027563349216704003,0.5378936043455793,22510001.317799933,114780
0.1,1.0,0.25,0.003,1.5,0.04083351538357949,0.8963900046000385,0.017132540104868088,0.34685671574970056,19116718.397576027,114780
0.1,1.0,0.25,0.003,2.0,0.050221182081881865,0.9409669452795135,0.014646265319600005,0.2661338092270154,21326517.13235016,114780
0.1,1.0,0.25,0.003,2.5,0.055510641837779096,0.9176738848469856,0.027581036681319615,0.4645031244488615,24578390.508789092,114780
0.1,1.0,0.25,0.003,3.0,0.055831650666516186,0.9176315625573941,0.028503189297576226,0.4874587853825287,24808999.507106125,114780
0.1,1.0,0.25,0.0035,1.5,0.03826763585061976,0.7883259882644719,0.017151533394363705,0.33468848520437267,18480794.549144596,114780
0.1,1.0,0.25,0.0035,2.0,0.05025677494456149,0.9024489997021948,0.01308756024102653,0.23099854074426426,21148674.92721475,114780
0.1,1.0,0.25,0.0035,2.5,0.059369619304101784,0.935763639120667,0.0174685569949542,0.2802420745395673,24414568.38602136,114780
0.1,1.0,0.25,0.0035,3.0,0.06196905186713919,0.9003582866380568,0.028517823646599494,0.4374167302008881,26869281.98457879,114780
0.1,1.0,0.25,0.004,1.5,0.036975944419761486,0.750608015923279,0.010637075440655952,0.21316357617104154,17508217.243400052,114780
0.1,1.0,0.25,0.004,2.0,0.05099747751431405,0.8869391302223039,0.01166163405124876,0.20173472108939963,21182434.62026039,114780
0.1,1.0,0.25,0.004,2.5,0.060173666366209355,0.9141902547580129,0.009804702995491077,0.16918323798773668,23621034.28573218,114780
