kind,horizon,decile,mean,se,t_stat,n_events,n_quarters
rr_ret_mktadj_fwd,5,2,-0.005358646789498176,0.0010311544461792642,-5.196745074759233,11917,67
rr_ret_mktadj_fwd,5,3,-0.003198833525214736,0.0010084031847079245,-3.1721771348245507,11153,67
rr_ret_mktadj_fwd,5,4,-0.0027223696651346727,0.0009907914095893223,-2.7476718497822668,15460,67
rr_ret_mktadj_fwd,5,5,-0.0008171295891689054,0.0010451326234428074,-0.7818429650365047,10641,67
rr_ret_mktadj_fwd,5,6,0.00018491107627416207,0.0012000681632687582,0.15408381118160766,13267,67
rr_ret_mktadj_fwd,5,7,0.0010408479768983466,0.0009950136064527562,1.0460640639970653,12792,67
rr_ret_mktadj_fwd,5,8,0.0019371345916821706,0.0009649265972389788,2.007546063322379,12155,67
rr_ret_mktadj_fwd,5,9,0.003979053394090521,0.0011801267273062863,3.3717170385361594,13084,67
rr_ret_mktadj_fwd,5,10,0.006737041719764997,0.0011847889009494437,5.6862802431439,12035,67
rr_ret_mktadj_fwd,10,1,-0.00619147881515807,0.0020565971910969766,-3.010545206402607,11176,67
rr_ret_mktadj_fwd,10,2,-0.005332495696030654,0.0018153328124546307,-2.9374755193347912,11830,67
rr_ret_mktadj_fwd,10,3,-0.0022094630897567576,0.0015929038462681117,-1.3870662029808853,11105,67
rr_ret_mktadj_fwd,10,4,-0.0021775830804514917,0.0015514997087884238,-1.4035343146483608,15360,67
rr_ret_mktadj_fwd,10,5,-0.0008142461013907603,0.0016743471151578794,-0.48630662902535743,10597,67
rr_ret_mktadj_fwd,10,6,0.0007614297437249939,0.0017693388317610403,0.4303470483192501,13203,67
rr_ret_mktadj_fwd,10,7,0.002456340748719379,0.0014940079594871775,1.6441282880196468,12723,67
rr_ret_mktadj_fwd,10,8,0.001837035231605774,0.0014102412327922785,1.3026390016752263,12093,67
rr_ret_mktadj_fwd,10,9,0.004911322931850611,0.0014898717336638667,3.2964736633889755,13009,67
rr_ret_mktadj_fwd,10,10,0.008161677949460941,0.0016920589795593843,4.823518593652249,11968,67
rr_ret_mktadj_fwd,20,1,-0.004388649814331815,0.0030702076307922033,-1.4294309512869705,10877,67
rr_ret_mktadj_fwd,20,2,-0.00374857453848714,0.002866388806707994,-1.3077690401646258,11587,67
