cp_type,horizon,decile,mean,se,t_stat,n_events,n_quarters
call,10,7,0.04382794718127562,0.015031738026836489,2.9156939206250554,12757,67
call,10,8,0.04246453307509864,0.01538560001200462,2.760018006575348,12132,67
call,10,9,0.054710417438062826,0.014871304356587007,3.678925272874919,13077,67
call,10,10,0.08129115431647656,0.016277081019378428,4.994209601813533,12026,67
call,20,1,0.007900590067112155,0.022297358432982174,0.35432852240584833,10977,67
call,20,2,0.022403252034331467,0.02167737945577805,1.0334852549882332,11680,67
call,20,3,0.04495747117756651,0.02233299080704376,2.0130519716771236,10946,67
call,20,4,0.030871082170873313,0.02201058092658673,1.4025564465490288,15194,67
call,20,5,0.0509773986693783,0.022926332311910456,2.22353047909434,10476,67
call,20,6,0.05929988506732088,0.02569024750652354,2.308264451413433,13089,67
call,20,7,0.06162570272085798,0.02355304025417176,2.6164648833367794,12600,67
call,20,8,0.06914609497932687,0.02557037434106274,2.7041487174588257,11982,67
call,20,9,0.07663959933258392,0.024730859960757974,3.098945991129821,12920,67
call,20,10,0.1207868949553735,0.027049880751498133,4.4653392769091536,11844,67
call,40,1,0.0622444689585067,0.03524446206562287,1.7660779966682876,10299,67
call,40,2,0.07610498997600086,0.036195730412695526,2.1025957787912826,11075,67
call,40,3,0.10573052214955789,0.03791449570742319,2.7886569549929994,10337,67
call,40,4,0.12675360680933617,0.06489498685819951,1.9532110713929638,14523,66
call,40,5,0.09712799178701215,0.03807640328385696,2.5508709702155863,10052,67
call,40,6,0.09948212479318354,0.039586077615714754,2.5130583979275443,12450,66
call,40,7,0.10412937192700587,0.036506956711188664,2.85231586819978,12081,67
call,40,8,0.10916222949845249,0.03780734466077218,2.887328652089024,11525,66
call,40,9,0.12255385140698141,0.03864094569434925,3.171605901583909,12400,66
call,40,10,0.17987083488797,0.04008124034680427,4.487656403136021,11345,67
call,60,1,0.15046674088338485,0.048598412242239306,3.0961246250881977,9434,65
call,60,2,0.16106369969351772,0.04875175601591388,3.303751759032889,10248,66
call,60,3,0.1672499995681307,0.05164086558158419,3.2387141014106904,9644,65
call,60,4,0.1453252223858606,0.04902751436660976,2.964156438753389,13479,65
call,60,5,0.1851517401756012,0.04843023171740703,3.8230612080481348,9358,66
call,60,6,0.17444172172193917,0.05199271786329002,3.355118349085296,11580,66
call,60,7,0.2008445429583763,0.059345194531255765,3.384343830107357,11295,66
call,60,8,0.21064704886252078,0.054733947191785856,3.848563088724824,10784,66
call,60,9,0.2164759766141812,0.05503583688751557,3.9333639471427206,11678,65
call,60,10,0.3296598581902448,0.06580282193329393,5.009813386490169,10626,66
put,1,1,0.015153259432721599,0.001990886840878541,7.611311261686148,11459,67
put,1,2,0.010555307567565836,0.002083845290444031,5.065302887872584,12099,67
put,1,3,0.007418572761887235,0.0019444636083079826,3.8152283900765145,11271,67
put,1,4,0.00702841057751209,0.002501623636371478,2.8095395627563566,15617,67
put,1,5,-0.0002460273754364554,0.002074257150431156,-0.11860987215848143,10766,67
put,1,6,-0.001938664997011125,0.0022470274150945243,-0.8627687334778568,13369,67
put,1,7,-0.00512967030190866,0.0019561869980762136,-2.622280133214957,12895,67
put,1,8,-0.005063350785561041,0.0019076803252950452,-2.654192486247891,12266,67
put,1,9,-0.007884513719453845,0.0016477582396980121,-4.784994260383037,13186,67
put,1,10,-0.009722425627964382,0.00205739724264295,-4.7255947594616545,12124,67
put,5,1,0.020517328817443975,0.006650764744140007,3.0849578366941643,11448,67
put,5,2,0.014261845746292358,0.006648458939574902,2.1451355683944784,12049,67
put,5,3,0.0038673276541839672,0.006478749157686616,0.5969250483475863,11252,67
put,5,4,0.007196390444390283,0.007143448476461197,1.007411261956118,15600,67
put,5,5,-0.002837161548124046,0.007120370472349972,-0.39845701275536066,10750,67
put,5,6,-0.008448633240362099,0.007094099559048289,-1.1909380704399823,13347,67
put,5,7,-0.01184464199021798,0.006682130830736544,-1.7725845677451952,12880,67
put,5,8,-0.014523342457601915,0.006847218344404228,-2.1210573005125313,12236,67
put,5,9,-0.02184561311579588,0.006611928445237282,-3.3039699834519163,13165,67
put,5,10,-0.03061657275658657,0.007004929799004845,-4.370717999334713,12099,67
put,10,1,0.015772575120687634,0.013036036585686337,1.2099210536127243,11375,67
put,10,2,0.008880585701318625,0.012065019593987179,0.7360606116002021,12006,67
put,10,3,-0.0014767507676034532,0.013148155341926804,-0.11231619411237058,11222,67
put,10,4,-0.0033189545979078854,0.012955186467892782,-0.2561873274563317,15540,67
put,10,5,-0.011545048854059973,0.013319460218181187,-0.8667805350175433,10722,67
put,10,6,-0.018644025653932587,0.013062633591382688,-1.427279233050822,13310,67
put,10,7,-0.021459936360293023,0.012971986976174398,-1.6543291632737847,12838,67
put,10,8,-0.025258279931386653,0.012491392208334163,-2.0220548286470836,12198,67
put,10,9,-0.032761007952552136,0.012472389913738193,-2.62668247057176,13115,67
put,10,10,-0.04281145708205669,0.012665957325877851,-3.3800411591935884,12058,67
put,20,1,-0.011600789259241602,0.020907396549019016,-0.5548653191726981,11181,67
put,20,2,-0.015460023037247184,0.020470528350843592,-0.7552332197918123,11843,67
