base_unit_fraction,liquidity_cap_frac,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage,pct_leverage_capped_quarters,pct_liquidity_capped,total_transaction_costs,cost_pct_of_gross_pnl,final_nav,strategy
0.002,0.05,0.036160151948454455,0.06061045533776225,0.8448928767284823,-0.1372611925541192,1.3181648196845674,0.0,0.11128905453804269,2139735.409352148,0.176642536286434,19973628.98370922,extreme
0.003,0.05,0.049094205939049784,0.1041976827824803,0.7604501190031218,-0.18479505253775402,2.210345601144688,0.15384615384615385,0.34956177386949305,3476377.3974800548,0.1838501596001565,25432376.367219407,extreme
0.004,0.05,0.054625652147530346,0.12810725967429668,0.7284540939539681,-0.20016920251195902,2.655844219806469,0.7051282051282052,0.8644265206883499,4057674.4514878965,0.18250760934801627,28175231.157124233,extreme
0.005,0.05,0.053622472411583466,0.13009227425434783,0.6969176183004773,-0.19947245942532596,2.645451504305888,0.8974358974358975,0.9943511050286813,3972592.0737232952,0.18365775805428652,27657815.025927015,extreme
0.0075,0.05,0.0526570916753073,0.1301232391323732,0.6774407816178843,-0.2108682275460086,2.5977095171430737,0.8974358974358975,0.9954284715953761,3766199.533722167,0.17990297509026454,27168415.53772128,extreme
0.01,0.05,0.050970395089249276,0.1290059187649247,0.6500583330682081,-0.21875736865350204,2.5255115343362027,0.8974358974358975,0.9961564219782779,3567950.3231428144,0.17928541850772262,26333000.64565628,extreme
0.015,0.05,0.04816760589649771,0.12837879116683817,0.5998583526471615,-0.2367137137916615,2.414653106846733,0.9102564102564102,0.9988935154179891,3288087.55784656,0.17980931978500705,24998437.08825094,extreme
0.02,0.05,0.04472979832138391,0.12549684297147004,0.5502431661691713,-0.25303513157439256,2.2941018997759075,0.9102564102564102,0.9990973415252017,3045913.9732589307,0.18465725417063716,23449045.76682405,extreme
0.03,0.05,0.03985931274769361,0.12233329458548958,0.47885737082244384,-0.28955609120260367,2.1280206469226357,0.9102564102564102,0.999213813586466,2724456.688141231,0.19276387038667303,21409191.29618348,extreme
0.05,0.05,0.03442692200839126,0.12150078900962198,0.39439576350246525,-0.33486117423782463,1.9434790312824353,0.9230769230769231,1.0,2377640.287399266,0.2030346786543924,19332872.92717578,extreme
0.001,0.1,0.020817682264831827,0.026318061012062514,0.9632633412802843,-0.08259705039972554,0.5795765906682345,0.0,0.0193343621698745,974392.5626141357,0.16482038065309265,14937452.554798841,extreme
0.0015,0.1,0.03027483809291165,0.04411804183791391,0.9166433105326194,-0.11845961271496691,0.9652174021352607,0.0,0.03654310922167545,1614419.9043311654,0.17010563621522684,17876270.35291881,extreme
0.002,0.1,0.038810747334914186,0.0652421193836361,0.8651060013739141,-0.15101340533536584,1.4143122238315675,0.0,0.056576303759135776,2349297.897954703,0.17608391075560173,20992624.642688103,extreme
0.003,0.1,0.05366846017286808,0.114456311676461,0.7931791977851571,-0.20098306995599477,2.4532033759623606,0.2564102564102564,0.3937920391346126,4001028.726155239,0.1845291686227277,27681335.94289817,extreme
0.004,0.1,0.05645841590669454,0.1330591574318811,0.7387394830977655,-0.21219781443001295,2.7816199652429745,0.8333333333333334,0.9463354977724718,4445944.830744851,0.18846518377357527,29144326.5484308,extreme
0.005,0.1,0.05566103421707269,0.13366175156756094,0.7190658529648519,-0.21057773382595876,2.756511879272604,0.8974358974358975,0.993506682584515,4345247.302946452,0.18839852544523142,28718878.558323372,extreme
0.0075,0.1,0.0547252792586006,0.13183525870577537,0.7098757456370641,-0.2017474239117724,2.708086891303897,0.8974358974358975,0.9939725708295722,4153002.7634488326,0.18556662034054855,28227114.71580103,extreme
0.01,0.1,0.05372408043627552,0.13061972045963066,0.6961472479335674,-0.1995202840938777,2.66429834983113,0.8974358974358975,0.9943802230439973,4000344.4675692194,0.18426145627582624,27709808.857068535,extreme
0.015,0.1,0.052493159888200136,0.1301167359801761,0.6742276364690081,-0.21080869509710512,2.60446867826289,0.9102564102564102,0.9981364470197711,3776970.370110143,0.18103590448899162,27086130.68584534,extreme
0.02,0.1,0.05061006808756918,0.1285785878315838,0.6452193658200196,-0.21852615318077895,2.5223315171660263,0.9230769230769231,1.0,3565573.225539446,0.18077981768692858,26157719.29218087,extreme
0.03,0.1,0.047991491395316555,0.1282200174775629,0.5973304011851792,-0.23653137600760682,2.4132011737035115,0.9230769230769231,1.0,3286966.696730268,0.18056560562190607,24916758.677264724,extreme
0.05,0.1,0.04212640784526944,0.12374689954847702,0.5118757217306871,-0.272686723989412,2.2058241234774916,0.9230769230769231,1.0,2870385.016534514,0.1887517743785199,22336809.86142353,extreme
0.001,0.01,0.027198776309976358,0.04086994160638387,0.8624412712482303,-0.10379100335650235,1.2923781786930375,0.0,0.10941960038058991,2222957.7825587923,0.24460603340674472,16864952.89404472,rankweighted
0.0015,0.01,0.03406839181068544,0.05870256164261485,0.8049301937899992,-0.129928574779657,1.8160079451825417,0.6153846153846154,0.7749560303318629,3005363.1571728378,0.24617682148292164,19202785.1935497,rankweighted
0.002,0.01,0.03364815018399159,0.061517396551968716,0.7554609860241924,-0.14842822888260343,1.8490281388366923,0.8974358974358975,0.9944814462416746,2982838.001883543,0.24786339366309698,19051363.409632258,rankweighted
0.003,0.01,0.03187408706871642,0.06121400576482106,0.7066277242389676,-0.15332308657358198,1.8061707102459423,0.8974358974358975,0.9950465645993715,2809300.742196395,0.25007513043648816,18424526.21729759,rankweighted
0.004,0.01,0.030485263746397928,0.061046340326005796,0.6684480411117051,-0.15912960157603442,1.7685709108384158,0.8974358974358975,0.9954732866245711,2676068.4235697547,0.251898871449818,17947514.001264017,rankweighted
0.005,0.01,0.029293187743445692,0.06086934564796997,0.6366448999028944,-0.16501796489320603,1.7370271428412092,0.8974358974358975,0.9958481100250843,2571324.424761882,0.2541143612381845,17547444.196708318,rankweighted
0.0075,0.01,0.02665260230335109,0.06052819990839041,0.5675963541684911,-0.1762162574479449,1.6697049831125093,0.9102564102564102,0.9984949398840931,2374652.59318285,0.2619349070988062,16691159.289183358,rankweighted
0.01,0.01,0.02450324286983996,0.0599223120891847,0.5161342311131152,-0.18406915004433164,1.6110173412773654,0.9102564102564102,0.9987025343828388,2228319.708360927,0.2700369253270342,16023587.713789824,rankweighted
0.015,0.01,0.022437047864996673,0.060003760988319055,0.46256871331816946,-0.19682882183831013,1.5498911401042386,0.9230769230769231,0.9999481013753135,2059840.6145856238,0.2759099929512615,15405784.651656497,rankweighted
0.02,0.01,0.0215484438711131,0.060609505196055784,0.4360312053674979,-0.20329703955497336,1.5164354797963053,0.9230769230769231,0.9999481013753135,1960894.7601506659,0.2758718528498809,15147096.649243718,rankweighted
0.03,0.01,0.01996966955600854,0.0619644070696107,0.38925277913141476,-0.21513198124541996,1.4662210911053823,0.9230769230769231,0.9999481013753135,1830335.4373562369,0.2803841107606976,14697621.629791517,rankweighted
0.05,0.01,0.017649873992854115,0.06481272896296353,0.321639559992057,-0.24365159573127443,1.4032593312594381,0.9230769230769231,0.9999481013753135,1685351.62362397,0.2933380738952586,14060072.423258383,rankweighted
0.001,0.05,0.03264651097015281,0.04749337146469863,0.9400108977638458,-0.12599541295545302,1.494957633138021,0.0,0.0210477755672808,2724971.865815734,0.2386144544726139,18695006.323847875,rankweighted
0.0015,0.05,0.03964780081816377,0.06460223423434673,0.9000547040360014,-0.1422299582727974,2.0202283141158053,0.8461538461538461,0.9488221895453104,3634734.471835426,0.24297536573009715,21324537.061365947,rankweighted
